UniqueID,CollegeID,PrefNumber,Gender,Caste
4755325943,135,2,BOYS,ST
6263571448,98,27,GIRLS,SC
3736536057,120,4,GIRLS,SC
5584585731,28,2,BOYS,BC
7526614020,27,5,BOYS,BC
8694072327,135,2,BOYS,ST
2585494535,,,GIRLS,SC
1541637129,,,BOYS,SC
2559575049,99,1,GIRLS,BC
7742850062,99,2,GIRLS,BC
4628874257,257,1,BOYS,ST
2309424149,15,1,GIRLS,ST
7221052438,,,BOYS,SC
3503981590,277,14,GIRLS,BC
8264188952,,,BOYS,SC
8564704278,35,1,GIRLS,BC
1980892187,72,1,BOYS,BC
7753630751,,,BOYS,SC
7525303328,120,20,GIRLS,SC
4681630755,,,GIRLS,SC
6200362020,28,4,BOYS,BC
5999526949,99,16,GIRLS,BC
5767726131,,,BOYS,SC
1590920244,,,GIRLS,BC
8896939061,169,2,BOYS,ST
2662990901,,,GIRLS,SC
4056646710,72,2,BOYS,BC
5000954936,,,BOYS,SC
2353202233,,,BOYS,SC
8547075128,120,19,GIRLS,SC
6702072893,,,BOYS,SC
6992004159,,,BOYS,SC
2586018879,13,19,GIRLS,BC
4811424831,120,4,GIRLS,BC
1304921153,30,9,BOYS,BC
8233747523,,,BOYS,SC
1167426628,,,GIRLS,SC
8371405895,120,16,GIRLS,SC
6389236811,28,2,BOYS,BC
2202960971,20,3,BOYS,BC
3083600973,,,BOYS,SC
7942145104,,,BOYS,SC
3297313874,14,3,GIRLS,BC
1899005011,168,1,GIRLS,OC
5775066200,120,21,GIRLS,SC
9984574555,81,4,GIRLS,BC
7393248354,,,BOYS,SC
4970579044,28,1,BOYS,BC
7020479591,,,BOYS,SC
5736563819,,,BOYS,SC
3070690412,,,BOYS,SC
9908192364,,,BOYS,SC
6732514415,120,17,GIRLS,SC
7853933680,15,1,GIRLS,OC
9750742129,31,2,BOYS,ST
8457684081,,,BOYS,SC
6910936179,,,GIRLS,SC
8085111929,,,GIRLS,BC
5900665978,243,1,GIRLS,ST
7066748026,11,3,BOYS,BC
4368303229,,,BOYS,SC
8083637374,174,1,BOYS,ST
9905636477,,,GIRLS,SC
4133848189,,,GIRLS,SC
1679754369,,,BOYS,SC
1530299523,,,GIRLS,SC
9297396867,14,1,GIRLS,BC
7409304709,,,BOYS,SC
8877278344,,,BOYS,SC
8689943692,,,GIRLS,SC
8659698829,277,21,GIRLS,BC
3027043470,98,18,GIRLS,BC
5778736272,,,BOYS,SC
3580462227,35,1,GIRLS,BC
8915715219,28,2,BOYS,BC
2672952472,14,2,GIRLS,BC
7569671321,30,13,BOYS,BC
9768174749,277,22,GIRLS,BC
5008262305,13,21,GIRLS,BC
5638685859,,,GIRLS,BC
3089826979,277,9,GIRLS,BC
5951390886,,,GIRLS,SC
5765465258,153,1,GIRLS,ST
2000290989,21,2,BOYS,ST
6653117614,,,GIRLS,SC
4564747437,,,GIRLS,SC
5306123439,,,BOYS,SC
9244017841,21,1,BOYS,BC
2092565681,98,4,GIRLS,BC
2373125301,30,14,BOYS,BC
1543079093,30,9,BOYS,BC
9861629113,174,2,BOYS,ST
7215711420,99,1,GIRLS,ST
6586205373,,,BOYS,SC
3669984445,98,4,GIRLS,BC
2069300417,10,11,BOYS,BC
7881491652,120,13,GIRLS,BC
6109529285,10,9,BOYS,BC
7901545670,,,GIRLS,SC
5190321351,10,12,BOYS,BC
3015771335,,,GIRLS,SC
9985524937,,,BOYS,SC
6162908361,,,BOYS,SC
3827369162,,,GIRLS,SC
2807137482,,,GIRLS,SC
1592624333,,,GIRLS,SC
2655257798,,,BOYS,SC
8572699848,58,7,GIRLS,BC
6963987656,277,5,GIRLS,BC
6260098257,12,1,GIRLS,ST
4770989269,,,BOYS,SC
7685866710,13,7,GIRLS,BC
7478150357,,,BOYS,SC
8411219160,,,GIRLS,SC
2114913497,,,GIRLS,SC
6696600797,30,14,BOYS,BC
1699251425,21,4,BOYS,BC
2666661092,,,BOYS,SC
2061206757,119,2,GIRLS,ST
7573406948,,,BOYS,SC
6411977958,,,BOYS,SC
2726954216,13,2,GIRLS,BC
2250507496,,,BOYS,SC
6904317162,,,GIRLS,SC
6106121450,193,3,BOYS,ST
5422417131,58,7,GIRLS,BC
4445570285,257,1,BOYS,ST
8677360872,,,BOYS,SC
7161742571,135,1,BOYS,ST
3268936944,21,8,BOYS,BC
7891453168,,,GIRLS,BC
6054642929,30,14,BOYS,BC
9188017393,,,BOYS,SC
1166050548,,,GIRLS,SC
4018341112,,,BOYS,SC
9150792954,82,4,GIRLS,ST
8957658362,,,BOYS,SC
6129747195,14,2,GIRLS,ST
7168951547,,,GIRLS,BC
2467267836,,,BOYS,SC
7565903103,21,10,BOYS,BC
6660621570,21,10,BOYS,BC
4685399299,58,7,GIRLS,BC
4881384707,13,6,GIRLS,BC
6012110085,,,BOYS,BC
5610865925,11,7,BOYS,BC
9707783432,169,5,BOYS,ST
3488843016,,,BOYS,SC
4474340623,,,BOYS,SC
4195812624,12,1,GIRLS,ST
1754531089,,,BOYS,SC
5548639506,,,BOYS,SC
7531136275,,,GIRLS,SC
9056650516,,,BOYS,BC
6538134803,,,BOYS,SC
5078123798,,,GIRLS,BC
4148462868,,,BOYS,SC
4234020120,13,2,GIRLS,BC
2610169113,,,BOYS,SC
5768709405,36,1,GIRLS,ST
3682043165,,,BOYS,SC
5918852383,257,1,BOYS,ST
4695033120,120,17,GIRLS,BC
3411674401,21,1,BOYS,BC
2838725922,,,GIRLS,SC
6398575910,179,1,GIRLS,ST
1644987691,,,GIRLS,SC
1231127852,30,4,BOYS,ST
9600402733,,,BOYS,SC
6881772845,,,BOYS,SC
6699222319,,,BOYS,SC
2192999731,,,GIRLS,SC
7349929268,277,2,GIRLS,BC
9511339319,169,5,BOYS,ST
6865618234,,,BOYS,SC
6527485243,,,GIRLS,SC
9554232636,120,16,GIRLS,BC
2751694140,,,BOYS,SC
3617031486,,,GIRLS,SC
2625733949,,,GIRLS,SC
9550660927,,,GIRLS,SC
4140500292,193,2,BOYS,ST
5024220485,,,BOYS,SC
9838658891,,,GIRLS,SC
1723401548,,,BOYS,SC
1547666766,,,GIRLS,SC
8000734547,,,GIRLS,SC
4360897876,,,BOYS,SC
5731190100,,,BOYS,SC
3162834262,,,BOYS,SC
1014007127,30,13,BOYS,BC
8450770266,193,2,BOYS,ST
4523591003,,,BOYS,SC
1790608731,,,GIRLS,SC
6164841822,,,BOYS,SC
3087041887,,,BOYS,SC
3526755679,,,GIRLS,BC
8983872866,30,9,BOYS,BC
2916287843,120,26,GIRLS,BC
2582611300,,,GIRLS,SC
1455981924,21,7,BOYS,BC
8227652966,27,13,BOYS,BC
5795874151,,,GIRLS,SC
2565080422,277,22,GIRLS,BC
6521587049,,,GIRLS,SC
1814398314,27,9,BOYS,BC
1675232613,,,BOYS,SC
1829766508,,,GIRLS,BC
1655965038,,,GIRLS,SC
9433974127,,,BOYS,BC
8450442607,,,GIRLS,BC
3801548147,,,GIRLS,SC
6002738548,,,BOYS,SC
4818929013,34,3,GIRLS,ST
1143014774,,,GIRLS,BC
1877640567,169,4,BOYS,ST
1400178043,,,GIRLS,BC
7905609085,,,BOYS,SC
1882883454,,,GIRLS,SC
9235301758,,,BOYS,SC
9414870401,,,GIRLS,SC
5285676419,,,BOYS,SC
5088511365,,,GIRLS,SC
3423208841,,,GIRLS,BC
2848949643,,,BOYS,SC
6198297997,20,5,BOYS,BC
1955792271,,,GIRLS,BC
3761964432,31,4,BOYS,ST
3954247057,146,2,BOYS,OC
6408242578,,,GIRLS,BC
5839455632,169,2,BOYS,ST
5622269328,,,BOYS,BC
6418859416,,,BOYS,BC
6266127770,257,3,BOYS,ST
9230583195,10,13,BOYS,BC
2234058140,,,GIRLS,SC
